time_stamp,d_id,temp
2019-07-11 08:20:29,3851337,304
2019-07-11 08:21:27,3851337,304
2019-07-11 08:21:32,3851337,304
2019-07-11 08:26:33,3851337,304
2019-07-11 08:31:32,3851337,305
2019-07-11 08:36:32,3851337,304
2019-07-11 08:41:32,3851337,305
2019-07-11 08:46:32,3851337,306
2019-07-11 08:51:32,3851337,304
2019-07-11 08:56:32,3851337,307
2019-07-11 09:01:32,3851337,306
2019-07-11 09:06:32,3851337,303
2019-07-11 09:11:32,3851337,303
2019-07-11 09:16:32,3851337,305
2019-07-11 09:21:32,3851337,305
2019-07-11 09:26:32,3851337,304
2019-07-11 09:31:32,3851337,304
2019-07-11 09:36:32,3851337,304
2019-07-11 09:41:32,3851337,303
2019-07-11 09:46:32,3851337,304
2019-07-11 09:51:32,3851337,303
2019-07-11 09:56:33,3851337,304
2019-07-11 10:01:33,3851337,306
2019-07-11 10:06:33,3851337,304
2019-07-11 10:11:33,3851337,304
2019-07-11 10:16:33,3851337,305
2019-07-11 10:21:33,3851337,306
2019-07-11 10:26:33,3851337,307
2019-07-11 10:31:33,3851337,310
2019-07-11 11:23:15,3851337,189
2019-07-11 11:28:16,3851337,1024
2019-07-11 11:33:16,3851337,491
2019-07-11 11:38:16,3851337,478
2019-07-11 11:43:16,3851337,477
2019-07-11 11:48:16,3851337,468
2019-07-11 11:53:16,3851337,469
2019-07-11 11:58:16,3851337,1024
